timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200012,22320,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-63,text,false,,1332,0,948,948,null,15722,0,6
946681200023,22311,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-74,text,false,,1332,0,948,948,null,15708,0,1
946681199999,22334,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-38,text,false,,1332,0,948,948,null,3417,0,18
946681200000,22333,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-4,text,false,,1332,0,948,948,null,15730,0,18
946681200015,22319,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-66,text,false,,1332,0,948,948,null,15726,0,3
946681200000,22333,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-10,text,false,,1332,0,948,948,null,15714,0,18
946681200018,22316,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-68,text,false,,1332,0,948,948,null,15705,0,1
946681200000,22333,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-36,text,false,,1332,0,948,948,null,15722,0,17
946681200008,22326,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 130,928)",OTUS 1-60,text,false,,1333,0,948,948,null,3357,0,6
946681200000,22333,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 130,928)",OTUS 1-41,text,false,,1333,0,948,948,null,3364,0,16
946681200003,22331,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-55,text,false,,1332,0,948,948,null,15729,0,15
946681200038,22296,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-90,text,false,,1332,0,948,948,null,15693,0,1
946681200035,22299,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-87,text,false,,1332,0,948,948,null,15693,0,1
946681200007,22327,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-59,text,false,,1332,0,948,948,null,15710,0,11
946681200041,23288,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-92,text,false,,1332,0,932,932,null,15697,0,0
946681200057,23272,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-109,text,false,,1332,0,932,932,null,15658,0,1
946681200042,23287,/user/search,Non HTTP response code: org.apache.http.ConnectionClosedException,"Non HTTP response message: Premature end of Content-Length delimited message body (expected: 553,144; received: 65,392)",OTUS 1-94,text,false,,1332,0,931,931,null,15691,0,0
